labID,age,error,depth,cc
surface,-22,3,0,0
WSU-1917,780,90,52.5,1
WSU-2346,1540,80,122.5,1
WSU-1918,2680,80,202.5,1
SI-3812,2825,65,237.5,1
WSU-1571,3635,80,277.5,1
WSU-1572,4150,100,301.5,1
SI-3813,3955,95,335.5,1
WSU-1573,4645,95,346.5,1
WSU-1919,5010,110,370.5,1
WSU-2122,4320,110,435,1
