"date","site.id","site.name","elev","long","lat","value","se.fit","df","residual.scale","period","modern","anom"
-3550,1906,"Potato Lake",2205,-111.345278,34.462222,16.3017332763738,0.610265352942801,NA,NA,NA,20.0492682311326,-3.74753495475886
-3450,246,"Beef Pasture",3060,-108.160375,37.473105,11.971182232073,3.79936292342777,NA,NA,NA,14.5692096134051,-2.5980273813321
-3450,2957,"Como Lake",3523,-105.514165,37.569525,10.967649226544,0.0904715017350142,NA,NA,NA,9.55612818064036,1.41152104590361
-3450,1906,"Potato Lake",2205,-111.345278,34.462222,16.2904470332484,1.24743692778531,NA,NA,NA,20.0492682311326,-3.75882119788423
-3450,13683,"Purple Lake",3226,-111.57115,38.07438,11.9876914600314,0.214957050029684,NA,NA,NA,12.5737202900019,-0.586028829970449
-3350,10000,"Bear Lake",2778,-112.147175,36.371125,13.1444076253609,0.860089878098901,NA,NA,NA,16.2237048759651,-3.07929725060424
-3350,246,"Beef Pasture",3060,-108.160375,37.473105,12.3173520876506,10.484750341679,NA,NA,NA,14.5692096134051,-2.25185752575447
-3350,2957,"Como Lake",3523,-105.514165,37.569525,10.9673301366277,0.0769290156529619,NA,NA,NA,9.55612818064036,1.41120195598733
-3350,504,"Crane Lake",2590,-112.148895,36.52986,12.3172798905456,0.996527484812519,NA,NA,NA,16.989092583515,-4.67181269296948
-3350,13486,"Hunters Lake",3516,-106.843695,37.611035,10.0634404805939,0.591320188193709,NA,NA,NA,10.853368062921,-0.789927582327095
-3350,1906,"Potato Lake",2205,-111.345278,34.462222,16.2886273851867,1.15230534595959,NA,NA,NA,20.0492682311326,-3.76064084594594
-3350,13683,"Purple Lake",3226,-111.57115,38.07438,11.9984030937081,0.195248885479544,NA,NA,NA,12.5737202900019,-0.575317196293787
-3250,10000,"Bear Lake",2778,-112.147175,36.371125,13.2679997983366,0.723244702586641,NA,NA,NA,16.2237048759651,-2.95570507762852
-3250,246,"Beef Pasture",3060,-108.160375,37.473105,12.2228699173871,1.69497816407431,NA,NA,NA,14.5692096134051,-2.34633969601804
-3250,2957,"Como Lake",3523,-105.514165,37.569525,10.9671418568406,0.0699477000251363,NA,NA,NA,9.55612818064036,1.41101367620029
-3250,504,"Crane Lake",2590,-112.148895,36.52986,12.4942118906636,0.896940318115054,NA,NA,NA,16.989092583515,-4.49488069285142
-3250,11617,"Cumbres Bog",3100,-106.45052,37.021745,18.4312665655339,2.36856433070371,NA,NA,NA,13.566567650834,4.8646989146999
-3250,13486,"Hunters Lake",3516,-106.843695,37.611035,10.2811697477986,0.467454080235671,NA,NA,NA,10.853368062921,-0.572198315122344
-3250,1906,"Potato Lake",2205,-111.345278,34.462222,16.3076181188004,0.662523139152162,NA,NA,NA,20.0492682311326,-3.74165011233222
-3250,13683,"Purple Lake",3226,-111.57115,38.07438,12.0077338755073,0.190748275030149,NA,NA,NA,12.5737202900019,-0.565986414494615
-3150,10000,"Bear Lake",2778,-112.147175,36.371125,13.401189727251,0.678006962230484,NA,NA,NA,16.2237048759651,-2.82251514871418
-3150,246,"Beef Pasture",3060,-108.160375,37.473105,12.9318867413698,4.50722781848787,NA,NA,NA,14.5692096134051,-1.63732287203526
-3150,2957,"Como Lake",3523,-105.514165,37.569525,10.9672692296011,0.0677578125709588,NA,NA,NA,9.55612818064036,1.41114104896078
-3150,504,"Crane Lake",2590,-112.148895,36.52986,12.6644210252109,0.835639563031938,NA,NA,NA,16.989092583515,-4.32467155830415
-3150,11617,"Cumbres Bog",3100,-106.45052,37.021745,15.2977444577729,2.90889022153947,NA,NA,NA,13.566567650834,1.73117680693892
-3150,982,"Hay Lake",2780,-109.425,34,19.319105706443,0.845791490961143,NA,NA,NA,14.5992815863824,4.71982412006061
-3150,23930,"Hermit Lake",3450,-105.63166,38.08806,9.60294628034201,0.579588591302959,NA,NA,NA,9.66606600072523,-0.063119720383213
-3150,13486,"Hunters Lake",3516,-106.843695,37.611035,10.4886612429512,0.478286558527996,NA,NA,NA,10.853368062921,-0.364706819969769
-3150,1705,"Molas Lake",3200,-107.682735,37.74759,10.3694338616886,0.312676152612083,NA,NA,NA,11.890517896094,-1.52108403440534
-3150,1906,"Potato Lake",2205,-111.345278,34.462222,16.3532576626566,2.4936936351263,NA,NA,NA,20.0492682311326,-3.69601056847606
-3150,13683,"Purple Lake",3226,-111.57115,38.07438,12.0147444504102,0.189250247946278,NA,NA,NA,12.5737202900019,-0.55897583959171
-3050,10000,"Bear Lake",2778,-112.147175,36.371125,13.5445702201283,0.665777658510506,NA,NA,NA,16.2237048759651,-2.67913465583682
-3050,246,"Beef Pasture",3060,-108.160375,37.473105,15.3626888705502,2.30450913150057,NA,NA,NA,14.5692096134051,0.793479257145096
-3050,2957,"Como Lake",3523,-105.514165,37.569525,10.9678979328783,0.0686678279673203,NA,NA,NA,9.55612818064036,1.41176975223791
-3050,504,"Crane Lake",2590,-112.148895,36.52986,12.8226550554602,0.802629307520407,NA,NA,NA,16.989092583515,-4.1664375280548
-3050,11617,"Cumbres Bog",3100,-106.45052,37.021745,12.6231851646598,3.35909059615809,NA,NA,NA,13.566567650834,-0.943382486174215
-3050,982,"Hay Lake",2780,-109.425,34,19.1795255354224,0.83108270462225,NA,NA,NA,14.5992815863824,4.58024394904001
-3050,23930,"Hermit Lake",3450,-105.63166,38.08806,10.642005177596,0.781382481722841,NA,NA,NA,9.66606600072523,0.975939176870819
-3050,13486,"Hunters Lake",3516,-106.843695,37.611035,10.6697912762171,0.474194277650974,NA,NA,NA,10.853368062921,-0.183576786703837
