"sample.id","value","dataset.id","site.id","site.name","depth","elev","type","pub_year","age","geometry"
3449,13.2,250,246,"Beef Pasture",225,3060,"fossil",1985,2988,c(-108.160375, 37.473105)
3450,14.11,250,246,"Beef Pasture",230,3060,"fossil",1985,3050,c(-108.160375, 37.473105)
3451,16.27,250,246,"Beef Pasture",235,3060,"fossil",1985,3112,c(-108.160375, 37.473105)
3452,13.07,250,246,"Beef Pasture",245,3060,"fossil",1985,3271,c(-108.160375, 37.473105)
3453,11.77,250,246,"Beef Pasture",260,3060,"fossil",1985,3578,c(-108.160375, 37.473105)
3454,12.79,250,246,"Beef Pasture",267,3060,"fossil",1985,3722,c(-108.160375, 37.473105)
3455,12.8,250,246,"Beef Pasture",275,3060,"fossil",1985,3886,c(-108.160375, 37.473105)
3456,14.26,250,246,"Beef Pasture",285,3060,"fossil",1985,4093,c(-108.160375, 37.473105)
3457,12.26,250,246,"Beef Pasture",295,3060,"fossil",1985,4299,c(-108.160375, 37.473105)
3458,12.99,250,246,"Beef Pasture",305,3060,"fossil",1985,4498,c(-108.160375, 37.473105)
3459,13.43,250,246,"Beef Pasture",315,3060,"fossil",1985,4645,c(-108.160375, 37.473105)
3460,13.93,250,246,"Beef Pasture",325,3060,"fossil",1985,4791,c(-108.160375, 37.473105)
3461,15.31,250,246,"Beef Pasture",335,3060,"fossil",1985,4935,c(-108.160375, 37.473105)
3462,14.74,250,246,"Beef Pasture",338,3060,"fossil",1985,4981,c(-108.160375, 37.473105)
3463,14.19,250,246,"Beef Pasture",345,3060,"fossil",1985,5137,c(-108.160375, 37.473105)
3464,14.09,250,246,"Beef Pasture",348,3060,"fossil",1985,5212,c(-108.160375, 37.473105)
3465,12.73,250,246,"Beef Pasture",358,3060,"fossil",1985,5415,c(-108.160375, 37.473105)
3467,11.98,250,246,"Beef Pasture",378,3060,"fossil",1985,5786,c(-108.160375, 37.473105)
3468,12.21,250,246,"Beef Pasture",382,3060,"fossil",1985,5851,c(-108.160375, 37.473105)
3470,15.94,250,246,"Beef Pasture",392,3060,"fossil",1985,6014,c(-108.160375, 37.473105)
11534,13.38,517,504,"Crane Lake",20,2590,"fossil",1989,1121,c(-112.148895, 36.52986)
11535,15.74,517,504,"Crane Lake",40,2590,"fossil",1989,2299,c(-112.148895, 36.52986)
11536,14.94,517,504,"Crane Lake",60,2590,"fossil",1989,3312,c(-112.148895, 36.52986)
11537,12.98,517,504,"Crane Lake",80,2590,"fossil",1989,4025,c(-112.148895, 36.52986)
11538,13.09,517,504,"Crane Lake",100,2590,"fossil",1989,4762,c(-112.148895, 36.52986)
11539,13.05,517,504,"Crane Lake",120,2590,"fossil",1989,5327,c(-112.148895, 36.52986)
11540,10.66,517,504,"Crane Lake",140,2590,"fossil",1989,5873,c(-112.148895, 36.52986)
21844,20.54,1013,982,"Hay Lake",9,2780,"fossil",1983,958,c(-109.425, 34)
21845,21.54,1013,982,"Hay Lake",17,2780,"fossil",1983,1809,c(-109.425, 34)
21846,20.41,1013,982,"Hay Lake",21,2780,"fossil",1983,2235,c(-109.425, 34)
21847,19.36,1013,982,"Hay Lake",34,2780,"fossil",1983,3618,c(-109.425, 34)
21848,19.97,1013,982,"Hay Lake",48,2780,"fossil",1983,5108,c(-109.425, 34)
24347,17.86,1162,1127,"Jacob Lake",9,2285,"fossil",1983,233,c(-110.833333, 34.333333)
24348,17.63,1162,1127,"Jacob Lake",15,2285,"fossil",1983,388,c(-110.833333, 34.333333)
24349,20.32,1162,1127,"Jacob Lake",19,2285,"fossil",1983,491,c(-110.833333, 34.333333)
24350,18.69,1162,1127,"Jacob Lake",25,2285,"fossil",1983,647,c(-110.833333, 34.333333)
24351,18.61,1162,1127,"Jacob Lake",33,2285,"fossil",1983,1091,c(-110.833333, 34.333333)
31510,16.63,1660,1609,"Long Lake",10,2727,"fossil",1964,1111,c(-108.833333, 36.005556)
31511,10.06,1660,1609,"Long Lake",18,2727,"fossil",1964,2000,c(-108.833333, 36.005556)
34305,12.5,1717,1661,"Mayberry Well",47,2080,"fossil",1990,4981,c(-108.3, 33.7)
35228,11.77,1761,1705,"Molas Lake",2,3200,"fossil",1961,174,c(-107.682735, 37.74759)
35229,13.1,1761,1705,"Molas Lake",3,3200,"fossil",1961,267,c(-107.682735, 37.74759)
35230,14.65,1761,1705,"Molas Lake",5,3200,"fossil",1961,452,c(-107.682735, 37.74759)
35231,12.2,1761,1705,"Molas Lake",8,3200,"fossil",1961,729,c(-107.682735, 37.74759)
35232,13.02,1761,1705,"Molas Lake",10,3200,"fossil",1961,914,c(-107.682735, 37.74759)
35233,11.67,1761,1705,"Molas Lake",11,3200,"fossil",1961,1007,c(-107.682735, 37.74759)
35234,11.73,1761,1705,"Molas Lake",14,3200,"fossil",1961,1284,c(-107.682735, 37.74759)
35235,12.29,1761,1705,"Molas Lake",14.2,3200,"fossil",1961,1303,c(-107.682735, 37.74759)
35236,11.79,1761,1705,"Molas Lake",16.8,3200,"fossil",1961,1544,c(-107.682735, 37.74759)
35237,11.73,1761,1705,"Molas Lake",18,3200,"fossil",1961,1655,c(-107.682735, 37.74759)
35238,11.73,1761,1705,"Molas Lake",19.2,3200,"fossil",1961,1766,c(-107.682735, 37.74759)
35239,11.73,1761,1705,"Molas Lake",21,3200,"fossil",1961,1932,c(-107.682735, 37.74759)
35240,11.73,1761,1705,"Molas Lake",21.8,3200,"fossil",1961,2006,c(-107.682735, 37.74759)
35241,12.2,1761,1705,"Molas Lake",23,3200,"fossil",1961,2117,c(-107.682735, 37.74759)
35242,10.33,1761,1705,"Molas Lake",24.2,3200,"fossil",1961,2228,c(-107.682735, 37.74759)
35243,11.29,1761,1705,"Molas Lake",26,3200,"fossil",1961,2395,c(-107.682735, 37.74759)
35244,11.29,1761,1705,"Molas Lake",28,3200,"fossil",1961,2580,c(-107.682735, 37.74759)
35245,11.73,1761,1705,"Molas Lake",28.5,3200,"fossil",1961,2626,c(-107.682735, 37.74759)
35246,11.29,1761,1705,"Molas Lake",31,3200,"fossil",1961,2858,c(-107.682735, 37.74759)
35247,11.24,1761,1705,"Molas Lake",32.5,3200,"fossil",1961,2996,c(-107.682735, 37.74759)
35248,11.29,1761,1705,"Molas Lake",33.5,3200,"fossil",1961,3089,c(-107.682735, 37.74759)
35249,10.48,1761,1705,"Molas Lake",38.2,3200,"fossil",1961,3524,c(-107.682735, 37.74759)
35250,11.67,1761,1705,"Molas Lake",44,3200,"fossil",1961,4060,c(-107.682735, 37.74759)
35251,10.86,1761,1705,"Molas Lake",49.8,3200,"fossil",1961,4597,c(-107.682735, 37.74759)
35252,10.19,1761,1705,"Molas Lake",55.5,3200,"fossil",1961,5125,c(-107.682735, 37.74759)
56107,13.35,2950,2853,"Whiskey Lake",5,2712,"fossil",1964,333,c(-108.810833, 35.981944)
56108,15.43,2950,2853,"Whiskey Lake",9,2712,"fossil",1964,600,c(-108.810833, 35.981944)
56110,17.66,2950,2853,"Whiskey Lake",13,2712,"fossil",1964,867,c(-108.810833, 35.981944)
56111,17.95,2950,2853,"Whiskey Lake",15,2712,"fossil",1964,1000,c(-108.810833, 35.981944)
56112,15.04,2950,2853,"Whiskey Lake",17,2712,"fossil",1964,1133,c(-108.810833, 35.981944)
56113,15.74,2950,2853,"Whiskey Lake",20,2712,"fossil",1964,1333,c(-108.810833, 35.981944)
56114,9.31,2950,2853,"Whiskey Lake",21,2712,"fossil",1964,1400,c(-108.810833, 35.981944)
56115,16.42,2950,2853,"Whiskey Lake",25,2712,"fossil",1964,1667,c(-108.810833, 35.981944)
56116,8.61,2950,2853,"Whiskey Lake",26,2712,"fossil",1964,1733,c(-108.810833, 35.981944)
56117,8.61,2950,2853,"Whiskey Lake",28,2712,"fossil",1964,1867,c(-108.810833, 35.981944)
56118,18.58,2950,2853,"Whiskey Lake",30,2712,"fossil",1964,2000,c(-108.810833, 35.981944)
58052,9.78,3056,2957,"Como Lake",10,3523,"fossil",1989,774,c(-105.514165, 37.569525)
58053,11.21,3056,2957,"Como Lake",20,3523,"fossil",1989,1640,c(-105.514165, 37.569525)
58054,15.32,3056,2957,"Como Lake",30,3523,"fossil",1989,2477,c(-105.514165, 37.569525)
