depth	min	max	median	mean
25	900	1445	1242	1216
30	1066	1554	1359	1342
35	1162	1767	1459	1463
40	1269	1889	1564	1566
45	1388	2037	1660	1668
50	1504	2139	1756	1771
55	1679	2315	1919	1938
60	1767	2643	2125	2147
65	1962	2834	2378	2381
67.5	2035	2942	2515	2502
70	2080	3106	2638	2622
72.5	2612	3215	2907	2906
75	2859	3553	3179	3189
77.5	2952	4145	3442	3472
80	3247	5134	4240	4230
82.5	3402	6908	6013	5698
85	3498	8841	7760	7167
87.5	3614	10933	9479	8636
90	3800	11474	10126	9172
92.5	3972	11677	10517	9474
95	4122	12094	10804	9777
97.5	4254	12608	11041	10055
100	4454	12816	11185	10234
105	4725	13345	11469	10592
107.5	4910	13582	11610	10761
112	5158	13927	11864	11054
130	6285	15503	13031	12325
150	7638	17013	14256	13725
170	8526	17795	15081	14582
190	9549	18493	15882	15388
210	10609	19178	16663	16180
250	12725	20584	18216	17811
270	13768	21278	18994	18623
290	14852	21912	19750	19420
310	16033	22640	20541	20239
330	17119	23305	21312	21043
350	18166	23949	22126	21870
370	19209	24541	22904	22662
390	20318	25171	23714	23490
430	22707	26243	25269	25083
450	23926	26762	26043	25886
468	25212	27222	26682	26565
490	25724	28238	27260	27188
510	26177	29009	27816	27751
550	27094	30513	28902	28873
595	28143	32204	30156	30146
610	28451	32780	30578	30570
650	29748	34489	31961	31999
670	30429	35357	32696	32731
690	31112	36092	33400	33438
710	31721	36804	34087	34144
730	32502	37735	34822	34874
750	33249	38594	35549	35598
770	33915	39381	36245	36317
790	34701	40174	36972	37041
810	35493	40946	37675	37777
830	36252	41817	38388	38508
855	37246	42929	39285	39421
880	38250	44063	40167	40336
905	39227	45181	41055	41243
925	40029	46297	41943	42138
