dataset,site.name,depth,lat,long,Amaranthaceae undiff.,Ambrosia,Apiaceae,Artemisia,Asteraceae undiff.,Botryococcus,Brassicaceae,Caryophyllaceae,cf. Populus,Cyperaceae,Ephedra trifurca-type,Ephedra viridis-type,Juniperus,Pediastrum,Picea,Pinus,Poaceae,Potamogetonaceae,Pseudotsuga,Quercus,Rosaceae,Salix,Sarcobatus vermiculatus,Thalictrum,Typha latifolia,Abies,Acer,Alnus,Bistorta bistortoides-type,Bistorta officinalis,Delphinium-type,Eriogonum,Indeterminable,Liliaceae,Ranunculaceae undiff.
368,Chicken Lake,0.0,37.469444,-108.221389,12.0,18.0,1.0,21.0,6.0,8.0,1.0,1.0,3.0,77.0,1.0,6.0,9.0,1.0,5.0,203.0,26.0,6.0,1.0,23.0,3.0,3.0,1.0,1.0,21.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2313,Rush Basin,0.0,37.426389,-108.095,31.0,28.0,27.0,49.0,18.0,NA,NA,2.0,NA,13.0,NA,3.0,4.0,NA,16.0,93.0,41.0,NA,NA,NA,10.0,8.0,8.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,6.0,1.0,10.0
