"site.id","site.name","lat","long","age","MAT_tjan","MAT_tfeb","MAT_tmar","MAT_tapr","MAT_tmay","MAT_tjun","MAT_tjul","MAT_taug","MAT_tsep","MAT_toct","MAT_tnov","MAT_tdec"
14650,"San Luis Lake",37.67773,-105.724665,-37,3.84374481636069,3.75606843986088,3.13313165126126,2.51487393115981,2.19347932818262,2.03853324768653,1.84943567149092,1.94389591713328,2.18013125950041,2.44827415573412,2.98553949921922,3.39455232948565
14650,"San Luis Lake",37.67773,-105.724665,32,3.81616310055486,3.64714572968133,2.98930576829144,2.51789593416928,2.09364031481624,1.98964016355066,1.86560705798134,1.965089931306,2.13961928210236,2.37156436553147,2.90405798731714,3.40635058386161
14650,"San Luis Lake",37.67773,-105.724665,105,3.47223725333501,3.43153023803665,3.28023329044179,2.57586792659104,2.39970376816644,2.32232133427593,2.04478405905408,2.14417165693121,2.38946437818198,2.58033840734615,3.20242490255839,3.4961648635436
14650,"San Luis Lake",37.67773,-105.724665,197,3.89614971302317,3.82746684671411,3.1556594372908,2.53211100928479,2.17562474747023,2.11673862746113,1.90925505344744,2.02481543282783,2.26389730790907,2.53482213689238,3.0991332199119,3.46533277597834
14650,"San Luis Lake",37.67773,-105.724665,303,3.9074913729549,3.97264112347145,3.68413484894355,3.28708481822379,3.01275086447456,3.0241677308959,2.43841019344904,2.49910091995619,3.03297282560871,3.12625385541276,3.81648013067679,3.97536566760724
14650,"San Luis Lake",37.67773,-105.724665,410,3.67123763964256,3.96274312886391,3.38483798858642,2.75395413423569,2.51169633801191,2.26961254373531,2.05490909448136,2.10697144041016,2.46742299675567,2.64163380295002,3.33080963824909,3.73061151711277
14650,"San Luis Lake",37.67773,-105.724665,516,3.6695362863221,3.66820053166786,3.31740696437276,2.66872347624748,2.52924591043696,2.48578070368791,2.09969657004629,2.2576069587406,2.39939407391405,2.60452590115439,3.21808378274845,3.65806867677737
14650,"San Luis Lake",37.67773,-105.724665,605,4.04528231932061,3.89933218428123,3.51960268958048,2.72584501218025,2.38475408405281,2.21840950205155,1.96114489602277,2.16631251070469,2.43842136166821,2.7112811115528,3.27618208225271,3.70318588834693
14650,"San Luis Lake",37.67773,-105.724665,671,3.83371067232541,3.77341871292098,3.2634622941576,2.66789828183714,2.29728613529692,2.11949710879278,1.99050395401335,2.10806381927296,2.19541797369204,2.42633708655553,2.98034998863334,3.63328124570189
14650,"San Luis Lake",37.67773,-105.724665,735,3.82339123310041,3.73397440389863,3.22087162947847,2.63795272254934,2.25988597438269,2.06803275926392,1.95102788260277,2.04647052279281,2.14173077498451,2.38367768912628,2.88400200263391,3.6009392563573
14650,"San Luis Lake",37.67773,-105.724665,798,3.85834439186037,3.75342417271198,3.13234931737101,2.48474147603122,2.21217160080644,2.09998596228695,1.90283406382515,1.96453932964312,2.15813761275173,2.39233131159766,2.94422673031744,3.36035227247527
14650,"San Luis Lake",37.67773,-105.724665,854,3.83258352107467,3.71733098036822,3.19161669562638,2.58321688412142,2.24226025030386,2.04943114575351,1.86093244510967,1.95227925325567,2.15144892690869,2.45247080871487,2.95653989678839,3.39910294833501
14650,"San Luis Lake",37.67773,-105.724665,901,3.58433676063302,3.59149488262327,3.15654807300212,2.65395937337941,2.18102251183052,2.12126250074526,1.89955296636877,2.06001409284637,2.23498612887713,2.41708276819741,2.99435377072343,3.24407338625402
14650,"San Luis Lake",37.67773,-105.724665,952,3.98116691514291,4.01277225111233,3.62404288140285,2.72109502965394,2.29371216588015,2.15935591480192,1.90871733017495,2.10257594069377,2.37213612390593,2.69679065607713,3.2702600879674,3.68159582923564
14650,"San Luis Lake",37.67773,-105.724665,975,3.08224101224035,2.99936213511997,2.71181223705952,2.3703914508307,2.19860733002299,2.28589844974806,2.03382477424832,2.06335491357332,2.08615392246273,2.16617675563006,2.49069550463688,3.09244090922763
14650,"San Luis Lake",37.67773,-105.724665,983,3.53980319518239,3.63336398056656,3.23253353425643,2.71951666227053,2.45237311874462,2.23409014937772,2.04902262524506,2.06147063001864,2.29937297195318,2.55954095508785,3.22662181095717,3.49002656535027
14650,"San Luis Lake",37.67773,-105.724665,1043,3.64472347901735,3.72187390630988,3.20068521466923,2.6638769630624,2.51931899700532,2.34252140719954,1.98589932019931,2.11092049534836,2.45771205077392,2.6461588374696,3.30500574294132,3.57332245398955
14650,"San Luis Lake",37.67773,-105.724665,1080,3.67228699187728,3.66825441319845,3.21433686757176,2.60634467510348,2.43232947039476,2.24955857372919,1.99971185316716,2.11759634059593,2.29617554785562,2.59454824438325,3.18778943037809,3.65529807198162
14650,"San Luis Lake",37.67773,-105.724665,1111,3.93932968806371,3.80412501126844,3.23160964948142,2.58770447485613,2.26750017358368,2.1404374889697,2.01090851561251,2.09602788599908,2.36087665803043,2.60216554056228,3.17745001634463,3.45039003429922
14650,"San Luis Lake",37.67773,-105.724665,1148,3.022217494462,3.09136546848696,2.54901109352924,2.08666193498883,1.82186492186095,1.66600829826239,1.55817237358967,1.61037178047829,1.77309049936956,1.96535565861789,2.45902154527722,2.9176446420308
14650,"San Luis Lake",37.67773,-105.724665,1186,2.88475938462215,2.76165841037335,2.42001027721164,2.00984876320877,1.75479277723074,1.63725351147826,1.54701339517533,1.58188476994829,1.70246686382353,1.83703425130595,2.21455584118538,2.70106139848694
14650,"San Luis Lake",37.67773,-105.724665,1216,3.75712027484557,3.59188531035599,3.29701147952589,2.64346735381554,2.47546524146613,2.31337268388204,2.02123598272772,2.15783178599203,2.44561493622441,2.62542328967542,3.23223207186106,3.77120096349136
