"site.id","site.name","lat","long","age","MAT_tjan","MAT_tfeb","MAT_tmar","MAT_tapr","MAT_tmay","MAT_tjun","MAT_tjul","MAT_taug","MAT_tsep","MAT_toct","MAT_tnov","MAT_tdec"
2880,"Twin Lakes",37.469444,-108.1025,-25,-6.63534748362843,-5.26895648838952,-2.92283433694392,1.06576232569913,5.73096466278968,10.795270345419,14.1316723112265,13.0599741748969,9.34143933717472,4.46099983391042,-1.69714400193033,-5.80052549565832
2880,"Twin Lakes",37.469444,-108.1025,119,-7.00524031017209,-5.7097644869176,-3.33043134003257,0.653716003000736,5.3300246644672,10.3215795115971,13.5940721416473,12.5360431681077,8.92762699944898,4.1083100079683,-2.08336466472441,-6.09811882733057
2880,"Twin Lakes",37.469444,-108.1025,264,-7.22996866196937,-6.00310649552072,-3.56422200542564,0.624731669879208,5.4892486677443,10.5740820106802,13.8453919786215,12.7927674824993,9.04550033083185,4.16894084347722,-2.17648132539781,-6.29993966041754
2880,"Twin Lakes",37.469444,-108.1025,408,-7.30316465107026,-6.25853965406151,-4.10082134058699,-0.160982494701942,4.57880916528404,9.68715385007051,12.9840009782712,11.8908726749818,8.33097249278721,3.53843484371901,-2.55593365549576,-6.49428198965654
2880,"Twin Lakes",37.469444,-108.1025,553,-7.68865332160378,-6.45709783282752,-4.12934233771637,-0.106555667805175,4.59805817288502,9.57091899457388,12.7200196335713,11.621111505727,8.18153083064671,3.43536167174267,-2.72736382021064,-6.79106215661081
2880,"Twin Lakes",37.469444,-108.1025,697,-7.77801765705769,-6.53487083160978,-4.19968183673918,-0.121030838063355,4.54207166664147,9.56337998530983,12.5929158205787,11.5484889945388,8.15519965963671,3.4476806635689,-2.65828931894115,-6.90663516752499
2880,"Twin Lakes",37.469444,-108.1025,841,-7.14760648464396,-5.80304665273055,-3.43428316889331,0.558325166416665,5.23659599985792,10.250377017837,13.5055513141553,12.4163431581855,8.8481400008779,4.05591350500006,-2.15744516840011,-6.20839732699096
2880,"Twin Lakes",37.469444,-108.1025,986,-6.52220532864255,-5.16920216084458,-2.91283850594113,1.10273499406874,5.7727099999182,10.8479215067718,14.207200649182,13.081902320385,9.49870049356793,4.75173700059609,-1.5504470113789,-5.58243583317536
2880,"Twin Lakes",37.469444,-108.1025,1130,-7.6835919684777,-6.10291849654944,-3.64851400380954,0.536537161966165,5.32455834014652,10.2109433433476,13.6740193108718,12.7027871658405,8.73068515523958,3.77465683425156,-2.60453000045304,-6.86205532607933
2880,"Twin Lakes",37.469444,-108.1025,1274,-7.84552899158172,-6.64405665930981,-4.25393316774629,-0.132424332449834,4.63459932880787,9.61471551529753,12.7702004892627,11.6833066868285,8.22675966725064,3.41141551029868,-2.80079132908334,-6.94942217243913
2880,"Twin Lakes",37.469444,-108.1025,1419,-7.27785430868312,-5.77162898952141,-3.29875467037782,0.813780998289585,5.54239766319282,10.4607966784202,13.8882731493314,12.8792986673117,9.00334049369829,4.0713503373228,-2.22865950027714,-6.4337174925829
2880,"Twin Lakes",37.469444,-108.1025,1563,-8.09128250013649,-6.81176416086382,-4.4559381640361,-0.305450835559265,4.43285016082848,9.500196843481,12.6249935001135,11.6371438459059,8.16012982304053,3.39307984341557,-2.92931032963408,-7.16779267485642
2880,"Twin Lakes",37.469444,-108.1025,1708,-7.38418297472332,-5.83852682268247,-3.4059201707008,0.692436165312926,5.44511099607373,10.4241543459458,13.9236378033956,12.8547529929876,8.91299450085498,3.99162183963383,-2.3685086716176,-6.51253333066901
2880,"Twin Lakes",37.469444,-108.1025,1852,-7.15556147458265,-5.51008931813141,-2.87953550233816,1.45542267260452,6.32130716925972,11.223191185131,14.5106935073932,13.5202438203245,9.60590016578945,4.72807516831439,-1.81689617792455,-6.20017883054912
2880,"Twin Lakes",37.469444,-108.1025,1996,-7.57646430836214,-5.98820633628095,-3.48437516388794,0.756083826522032,5.4869108374898,10.3431761642359,13.7056927931309,12.6641735138496,8.90500016504976,3.95804466589975,-2.46092449218268,-6.68162632243397
