labID,age,error,depth,cc
surface,-23,1,0,0
SI-1754,2545,75,44.5,1
SI-1755,2890,75,90,1
SI-1347,4035,60,145,1
SI-1756,4305,85,180,1
WSU-1520L,5990,120,220,1
SI-1757,6030,295,220,1
WSU-1520H,5760,130,220,1
WSU-1520R,5870,120,220,1
SI-1555,5575,185,255,1
WSU-1526L,6650,140,255,1
WSU-1526H,6600,120,255,1
WSU-1526R,6760,120,255,1
SI-1758,8500,90,295,1
SI-1759,8670,80,345,1
SI-1348,9765,175,385,1
