labID,age,error,depth,cc
start,-45,5,100,0
NSRL-3517,2070,50,206.5,1
NSRL-3455,5950,70,265.5,1
NSRL-3411,9840,70,365.5,1
NSRL-3456,11320,60,580.5,1
