labID,age,error,depth,cc
surface,-30,5,0,0
Salsola rise,70,20,8.5,0
Beta-30226,1740,150,12.5,0
A-05142,5230,190,25,0
Beta-30562,10490,290,37.5,0
A-05143,11060,160,50,0
A-05144,9440,340,110,0
A-05145,10080,650,200,0
