labID,age,error,depth,cc
surface,-51,1,0,0
isotopic excursion,-13,3,3.5,0
USC Geology,21,10,8,1
USC Geology,86,10,14,1
USC Geology,133,10,18,1
Beta-176479,790,40,35.5,1
Beta-176480,1880,40,78.5,1
Beta-176481,3190,40,140.5,1
Beta-176482,6190,40,238.5,1
Beta-176483,9930,40,330.5,1
AA-48623,11970,89,385.5,1
