"name","group","element","units","context","S57918","S57919","S57920","S57921","S57922","S57923","S57924","S57925","S57926","S57927","S57928","S57929","S57930","S57931","S57932","S57933","S57934","S57935","S57936","S57937","S57938","S57939","S57940","S57941","S57942","S57943","S57944","S57945","S57946","S57947","S57948","S57949"
Ribes aureum,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Rosa,TRSH,pollen,NISP,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,
Rosaceae undiff.,UPHE,pollen,NISP,,5,,,,,,,,,,,,,,,,,,,,,,,4,,,1,4,,,3,2
Rumex,UPHE,pollen,NISP,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Ruppia maritima,AQVP,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salix,TRSH,pollen,NISP,,,4,1,4,4,1,1,1,3,,1,,,1,1,1,,5,4,7,6,7,2,7,3,,1,,,1,,
Salsola,UPHE,pollen,NISP,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarcobatus vermiculatus,TRSH,pollen,NISP,,28,41,10,5,29,11,6,54,47,30,42,30,42,14,21,20,5,,2,,,2,1,,7,,1,6,,,5,11
Solanum,UPHE,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphaeralcea,UPHE,pollen,NISP,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Spirogyra,ALGA,palynomorph,NISP,,,2,,1,1,,,10,7,4,2,2,3,1,,1,,,,1,,,1,,4,,1,,,,,
Sporormiella,FUNG,spore,NISP,,8,,2,6,,,1,,,1,,,,,,,,15,5,11,4,2,2,,1,,,,,2,,
Stauridium tetras,ALGA,colony,NISP,,5,7,6,2,7,25,12,71,71,29,88,61,65,75,96,86,45,73,177,64,111,111,35,16,,43,7,43,10,2,7,27
Thalictrum,UPHE,pollen,NISP,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,
Thecaphora,FUNG,spore,NISP,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,
Tilletia,FUNG,spore,NISP,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsuga heterophylla,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Typha/Sparganium,AQVP,pollen,NISP,,3,1,1,,3,,1,2,2,,2,2,5,,4,1,3,,,,,10,,,,,,,,,,
Unknown,UNID,pollen/spore,NISP,,2,,,1,,,,,,,6,,,,4,,,1,1,,,10,,10,,3,,8,,,12,18
Unknown,UNID,spore,NISP,,,75,49,49,14,3,,,3,3,1,4,,1,,8,4,24,14,33,35,,23,,8,,24,,3,,,
cf. Collinsia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,
