labID,age,error,depth,cc
surface,-55,5,0,0
USCGeology1,-13,2,6,0
USCGeology2,60,15,17,0
USCGeology3,85,23,21,0
Beta-202658,990,40,56,0
Beta-160243,1840,70,103,0
Beta-160244,4290,70,164,0
Beta-176476,8130,40,188.5,0
AA-39836,9100,61,220.5,0
Beta-114177,11850,80,345,0
