Year,Prop in niche,Prop in niche (Gaussian centered),Prop in niche (linear lagged)
1,0.9772043010752688,NA,NA
2,0.984516129032258,NA,NA
3,0.9807885304659498,NA,NA
4,0.9704659498207885,NA,NA
5,0.9848028673835125,NA,NA
6,0.9835125448028674,NA,NA
7,0.9819354838709677,NA,NA
8,0.8963440860215054,NA,NA
9,0.8017204301075269,NA,NA
10,0.9253046594982078,NA,NA
11,0.9362007168458781,0.868685244137182,NA
12,0.643584229390681,0.856013136384884,NA
13,0.9053763440860215,0.845572661509328,NA
14,0.9374910394265233,0.831786848504402,NA
15,0.7727598566308244,0.813834546810525,NA
16,0.8617921146953404,0.796985143578852,NA
17,0.6930465949820789,0.784712344339166,NA
18,0.5575627240143369,0.773109313258999,NA
19,0.8613620071684588,0.763062663449727,NA
20,0.8559139784946237,0.75282478533365,NA
21,0.9446594982078853,0.740672260879116,0.915563623950721
22,0.7938351254480287,0.731193701431271,0.905830656798399
23,0.9138351254480287,0.725394553728076,0.895126999643129
24,0.44344086021505374,0.720503796689263,0.882436034694099
25,0.07799283154121864,0.713383115265139,0.866819966174805
26,0.40516129032258064,0.706818211658734,0.847391270617077
27,0.9700358422939068,0.702953163093238,0.828021536408633
28,0.9806451612903225,0.701707536939886,0.808789585563779
29,0.9829390681003585,0.697822947077554,0.797713540939347
30,0.7934050179211469,0.689526482767757,0.795203649397198
31,0.6275268817204301,0.682456129980775,0.78016974662136
32,0.7736200716845878,0.673694805289603,0.763441480860836
33,0.7029390681003584,0.66663810029571,0.773571661313597
34,0.8091756272401434,0.651421980839916,0.759486105292557
35,0.3356272401433692,0.644099770549754,0.739875560520722
36,0.1985663082437276,0.642854831741853,0.732754891464569
37,0.6219354838709678,0.636004796903124,0.716502040373008
38,0.7763440860215054,0.628678648194244,0.715950286272867
39,0.5341935483870968,0.626501864808871,0.727614082452792
40,0.5944086021505376,0.628713003619899,0.710504119536378
41,0.8691039426523297,0.630006385941267,0.693946531365886
42,0.8157706093189964,0.629176173597331,0.668763208118047
43,0.8311111111111111,0.628059506792367,0.657452559388043
44,0.07799283154121864,0.629586522091477,0.631614454840261
45,0.5733333333333334,0.627053320604496,0.649101770392093
46,0.8691039426523297,0.624173026979502,0.703236357429906
47,0.46767025089605735,0.618479102249864,0.727898958866701
48,0.6997849462365592,0.608346992940834,0.700039411007153
49,0.8596415770609319,0.594437917360302,0.670691554562522
50,0.9427956989247311,0.585088147287821,0.640961380316219
51,0.436415770609319,0.575446897484585,0.626916166271005
52,0.14222222222222222,0.566036902178196,0.625849896817639
53,0.45204301075268816,0.55817403111775,0.610110319787739
54,0.7783512544802867,0.554993358864842,0.601122748219522
55,0.530752688172043,0.557710730366076,0.581272013530078
56,0.30494623655913977,0.562980746053642,0.604338314015733
57,0.3102508960573477,0.567259801861458,0.640348182283666
58,0.560573476702509,0.576151535521947,0.637604307281727
59,0.45089605734767024,0.584442997816898,0.619414420704743
60,0.8091756272401434,0.595441705628789,0.624428617977005
61,0.8037275985663083,0.607766471271479,0.624874862294217
62,0.8670967741935484,0.622665697044388,0.600340113888501
63,0.6291039426523297,0.637712968380118,0.579845769523189
64,0.7524014336917563,0.645190935250841,0.557616099551583
65,0.37591397849462366,0.649443314448756,0.605141429657559
66,0.8529032258064516,0.652447302561858,0.608846064329935
67,0.5458064516129032,0.655144621690192,0.584262905553228
68,0.3872401433691756,0.655227480929205,0.595825536470698
69,0.47885304659498207,0.652579645091606,0.585330416298158
70,0.8480286738351255,0.652626090781846,0.560252602833248
71,0.9686021505376344,0.644321738591206,0.527727039985105
72,0.811326164874552,0.639466174675516,0.542859004794489
73,0.7948387096774193,0.633892036265159,0.587561017238437
74,0.5245878136200717,0.632078893094348,0.604411550218002
75,0.6203584229390681,0.624676042226554,0.590913745752455
76,0.3683154121863799,0.62496385453789,0.599221710189452
77,0.3872401433691756,0.625973012540262,0.628413784542817
78,0.4153405017921147,0.624519372815153,0.657578550481776
79,0.5944086021505376,0.632739735044686,0.664133190584804
80,0.9046594982078853,0.636669815161409,0.682622849074462
81,0.44344086021505374,0.640453112907281,0.666958370184177
82,0.880573476702509,0.638863148901394,0.652121832766994
83,0.810752688172043,0.638946581415852,0.63128054740958
84,0.8941935483870967,0.637482239098396,0.633222548061258
85,0.32415770609318995,0.629681923615951,0.622101816940527
86,0.7351971326164874,0.620599895464668,0.646762556439976
87,0.977921146953405,0.604807656180138,0.628601840214743
88,0.1350537634408602,0.582796466018353,0.636580862387314
89,0.9286021505376344,0.563889237985836,0.661318561963723
90,0.4167741935483871,0.542931779427654,0.677459076168754
91,0.691326164874552,0.523111891639458,0.659359803875933
92,0.22265232974910396,0.508360130471507,0.627070086424925
93,0.47885304659498207,0.496045492697986,0.60763890828407
94,0.5899641577060932,0.491060724204143,0.588819686884203
95,0.10422939068100358,0.492322261823561,0.592748995329641
96,0.5883870967741935,0.506644194403366,0.587833480736706
97,0.10494623655913979,0.525079311437899,0.604690840819873
98,0.043297491039426525,0.549132516900066,0.618338841564648
99,0.7832258064516129,0.581490638566846,0.631024841347422
100,0.7574193548387097,0.613098677215109,0.628137597169855
101,0.9192831541218638,0.650079155868576,0.597109031947742
102,0.6395698924731182,0.683896388353901,0.608858477245574
103,0.8301075268817204,0.71842823116806,0.580650126456578
104,0.8183512544802868,0.748275579412212,0.558822014305885
105,0.7710394265232975,0.773626158523635,0.528875234681686
106,0.8811469534050179,0.796258847519206,0.553161104128846
107,0.9654480286738352,0.808637269560148,0.541076510108768
108,0.9691756272401434,0.821742103015627,0.506888237210818
109,0.5512544802867384,0.830728515628613,0.551126006609878
110,0.9611469534050179,0.830095212110001,0.523363900138094
111,0.8411469534050179,0.829293670596811,0.54396871945259
112,0.8371326164874552,0.827277565532152,0.540245465406756
113,0.7545519713261649,0.818491754667992,0.581431519496036
114,0.9376344086021505,0.812210512792784,0.601312665828795
115,0.9459498207885305,0.805646300624213,0.612633865537091
116,0.7036559139784946,0.799224857489856,0.670707691352853
117,0.640573476702509,0.792510829798083,0.684993095315676
118,0.7848028673835126,0.786664472493432,0.7461707706869
119,0.8140501792114695,0.778953795909546,0.816289469192695
120,0.8027240143369175,0.776192091053336,0.819226365032817
121,0.876415770609319,0.767638853209104,0.825024437927664
122,0.9376344086021505,0.764043088782178,0.816187062638676
123,0.11182795698924732,0.760793878748145,0.830493568558085
124,0.8402867383512544,0.758717468819809,0.827522537199956
125,0.8526164874551971,0.753855924617546,0.825768592220205
126,0.8514695340501792,0.751016266832654,0.828663904792937
127,0.8931899641577061,0.742444994463303,0.821601576440286
128,0.9340501792114695,0.739736815987156,0.806739592546044
129,0.599426523297491,0.732485173167585,0.789938090583252
130,0.7126881720430107,0.726655889740353,0.811828267312138
131,0.4696774193548387,0.721893083805039,0.794327918198886
132,0.8240860215053764,0.718723177667957,0.787662803146674
133,0.7632974910394266,0.717448525394568,0.781042995236544
134,0.7611469534050179,0.723811174008874,0.781959068410681
135,0.619068100358423,0.726594755959215,0.764852208723176
136,0.8235125448028674,0.733103710470135,0.7464593709755
137,0.11340501792114695,0.741954435319358,0.747538053344505
138,0.9450896057347671,0.750599001108283,0.755669754379432
139,0.6742652329749104,0.754738058309163,0.750211174727304
140,0.8903225806451613,0.760675008869755,0.742423932101351
141,0.9156989247311828,0.761500626725616,0.736155409703797
142,0.9762007168458782,0.763848332421939,0.723619606200251
143,0.9437992831541219,0.756878685288429,0.705545159738708
144,0.7800716845878136,0.743076889784564,0.76543685704976
145,0.8731182795698925,0.729689511612359,0.759247156666512
146,0.8683870967741936,0.713437408875652,0.752004841037099
147,0.760573476702509,0.689329529169449,0.744473304473305
148,0.5618637992831541,0.673171255877776,0.731714689134044
149,0.15369175627240145,0.649416282038165,0.711863333798818
150,0.3750537634408602,0.628178984491816,0.721461000170678
151,0.44014336917562724,0.608741716853476,0.719582305388757
152,0.9168458781362007,0.587139236760907,0.741731291408711
153,0.7303225806451613,0.572011715622683,0.731255411255411
154,0.4309677419354839,0.554013581042692,0.724867104221943
155,0.905089605734767,0.533544511852519,0.719297428974848
156,0.6924731182795699,0.517306759170911,0.726961783735977
157,0.21763440860215053,0.499477905253529,0.713417430836786
158,0.5534050179211469,0.48472432513321,0.766333069558876
159,0.4592114695340502,0.47451128538562,0.741537649924747
160,0.2521863799283154,0.472723443790425,0.739535446632221
161,0.46308243727598564,0.471492778109083,0.716042141848593
162,0.08645161290322581,0.474304026604354,0.686652081490791
163,0.7324731182795698,0.479622762752608,0.65070676038418
164,0.28329749103942653,0.496471177213738,0.614847709041257
165,0.0182078853046595,0.518949373669726,0.590574873155518
166,0.72415770609319,0.542538950616099,0.55719840494034
167,0.5261648745519714,0.570219797792741,0.522770562770563
168,0.6864516129032258,0.602968451838888,0.497823084919859
169,0.7869534050179211,0.629367285692088,0.491914537075827
170,0.9797849462365591,0.6539885725929,0.526688699591925
171,0.7589964157706093,0.670569481352584,0.543001132678552
172,0.6384229390681003,0.684234184123974,0.554254681996617
173,0.6374193548387097,0.697838469036341,0.520962000962001
174,0.9189964157706093,0.700265011047392,0.505442753184689
175,0.6367025089605735,0.704265296621428,0.518028208350789
176,0.7688888888888888,0.707945113897101,0.486922062405933
177,0.6844444444444444,0.705169960687656,0.475109931884125
178,0.785089605734767,0.705911938812831,0.50892147279244
179,0.6252329749103943,0.707911485246906,0.512519356390324
180,0.6649462365591398,0.707953040516658,0.525570916538658
181,0.1757706093189964,0.711604735929032,0.557112135176651
182,0.7422222222222222,0.721031711102645,0.570689382302285
183,0.92,0.732377727481943,0.622114229856165
184,0.7531182795698925,0.738911455470617,0.614899222641158
185,0.8064516129032258,0.745575315721552,0.650783099815358
186,0.8325448028673835,0.754358774075205,0.714291300097752
187,0.8791397849462366,0.759538637002495,0.714293162035098
188,0.890752688172043,0.762503446713142,0.733872674517836
189,0.9136917562724014,0.762487335024253,0.739864388896647
190,0.49806451612903224,0.760501849710771,0.735468975468975
191,0.7870967741935484,0.749331072054757,0.712709273999597
192,0.8903225806451613,0.741730929611972,0.710589768654285
193,0.7992831541218638,0.731334081648523,0.720127853031079
194,0.31641577060931897,0.719174602107256,0.728367546432062
195,0.7511111111111111,0.708068196926665,0.710282548992227
196,0.8497491039426524,0.69849106587763,0.718782913621623
197,0.8081720430107527,0.687176367395762,0.715436391565424
198,0.7405017921146954,0.680186000661911,0.720009309686729
199,0.7664516129032258,0.674896271969755,0.71535198373908
200,0.6359856630824373,0.670093663002869,0.725273627209111
201,0.03799283154121864,0.670083278633494,0.728870890161213
202,0.4410035842293907,0.672682263655985,0.778086859377182
203,0.9301792114695341,0.675853715567717,0.776620894040249
