labID,age,error,depth,cc
surface,0,35,0,0
A-2474,4070,30,50.5,0
A-2476,12060,530,103.5,0
A-2477,13710,320,161,0
A-2391,24550,920,212,0
A-2475,25920,3000,249.5,0
A-2392,37000,2500,341,0
