labID,age,error,depth,cc
1,-57,1,0,0
2,-53,1,2,0
3,-44,1,4,0
4,-33,1,6,0
5,-21,1,8,0
6,-13,2,10,0
7,-8,3,12,0
8,-3,3,14,0
9,6,4,16,0
10,23,7,18,0
11,39,10,20,0
12,54,14,22,0
13,99,28,24,1
14,2160,25,68,1
15,3920,25,119,1
16,6920,30,197,1
17,7852,27,276,1
