labID,age,error,depth,cc
surface,-55,1,0,0
UA-69125,94,37,18.5,1
UA-66518,422,35,28.5,1
UA-69126,426,37,33.5,1
UA-69127,496,36,38.5,1
BETA-213862,780,50,49.5,1
UA-68129,846,38,58.5,1
UA-69130,914,34,68.5,1
UA-69131,1079,37,78.5,1
BETA-213863,1190,90,84,1
UA-69132,1342,37,88.5,1
UA-69133,1567,37,98.5,1
UA-69134,1743,37,108.5,1
BETA-213864,1740,80,119.5,1
UA-69135,1914,40,128.5,1
UA-69136,1929,39,138.5,1
BETA-213865,2150,60,142.75,1
