"name","group","element","units","context","S10563","S10564","S10565","S10566","S10567","S10568","S10569","S10570","S10571","S10572","S10573","S10574","S10575","S10576","S10577","S10578","S10579","S10580","S10581","S10582","S10583","S10584","S10585","S10586","S10587","S10588","S10589","S10590","S10591","S10592","S10593","S10594","S10595","S10596","S10597"
Pseudotsuga,TRSH,pollen,NISP,,33,12,10,8,19,7,10,5,9,5,11,13,17,9,7,6,11,5,13,8,11,12,10,7,10,4,12,4,5,4,8,12,16,16,4
Quercus,TRSH,pollen,NISP,,31,3,9,3,8,13,7,6,3,2,14,5,9,11,3,8,9,5,12,7,9,1,7,2,4,7,7,9,3,8,16,4,6,14,2
Ranunculaceae undiff.,UPHE,pollen,NISP,,20,4,,,2,,,1,,,,,,,,2,,,1,,,,,,,,,1,,,1,,2,5,1
Rosaceae,UPHE,pollen,NISP,,4,1,,1,,,,,,,,,,1,,,,,,2,,,,,2,,,,1,,3,1,1,2,
Rubiaceae,TRSH,pollen,NISP,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,
Salix,TRSH,pollen,NISP,,,1,,4,,1,,6,5,4,10,16,27,3,3,4,4,1,1,2,2,,1,7,1,,,1,1,,9,2,3,1,5
Sarcobatus vermiculatus,TRSH,pollen,NISP,,2,,2,,2,1,,1,,,1,2,,1,1,,2,,,,1,2,2,,2,2,2,,1,1,,1,5,2,1
Sparganium,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,3,1,,,
Thalictrum,UPHE,pollen,NISP,,1,,,,1,,1,,1,1,,,,,5,5,,1,1,1,,,,1,3,3,,,,1,,,,1,1
Triglochin,AQVP,pollen,NISP,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typha,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,8,,,,
Ulmus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Unknown,UNID,pollen/spore,NISP,,31,4,2,1,2,2,4,1,10,5,5,4,1,5,7,5,6,6,3,5,5,2,7,8,,1,1,4,4,1,9,8,12,29,7
Unknown (monolete),UNID,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,2,2,2
Unknown (trilete),UNID,spore,NISP,,,,,1,,,,,,,,,,,1,1,,,,1,,,1,3,,,,1,,,3,,1,1,4
