labID,age,error,depth,cc
surface,-49,2,0,0
AA-35802,120,60,8,1
AA-35801,990,35,56,1
AA-35800,2770,45,90,1
AA-35799,2950,45,127,1
AA-35795,3495,50,149,1
AA-35794,4550,50,186,1
AA-35798,5010,50,225,1
UCI-32510,7955,20,282,1
Beta153457,9890,60,330,1
Beta153454,10070,60,347,1
Beta153455,10180,50,370,1
AA-35802,12120,95,404,1
