"","age","MAT_tjul"
"1",-6,39.8630816806396
"2",30,40.1352638964375
"3",130,38.9029782740737
"4",220,38.9197684435311
"5",350,39.2048910474859
"6",480,38.5253695707996
"7",670,38.2038832107281
"8",820,38.4102810871635
"9",1030,39.3286776731412
"10",1210,39.4030603097431
"11",1480,40.1179804456486
"12",1570,38.1215065538613
"13",1670,39.1353768844676
"14",1860,40.6151931511492
"15",1940,38.3866512914702
"16",2010,38.8331436850826
"17",2220,40.7557737947182
"18",2490,38.6197112219129
"19",2760,38.5748452737364
"20",2990,38.0380243580619
"21",3280,37.7489555366711
"22",3640,47.7943737878966
"23",3760,38.0175352354507
"24",3880,37.218599231353
"25",4000,37.249136693868
"26",4120,39.6575420112887
"27",4210,38.2825634287838
"28",4490,38.4832942346327
"29",4870,38.2760009053359
"30",4990,40.8596252506398
"31",5120,37.2331658894529
"32",5240,37.1986494040096
"33",5460,37.2209131883507
"34",5740,40.7131611300293
"35",6110,40.9409305267303
"36",6360,37.2646632678113
"37",6690,37.3966950607993
"38",6960,37.2206254118486
"39",7320,38.4139697595358
"40",7540,40.0307915940888
"41",7660,39.8902701185459
"42",7770,39.3127308634121
"43",7850,39.1896635839665
"44",7960,39.7638059859964
