"site.id","site.name","lat","long","age","MAT_tfeb","MAT_tjan"
250,"Beef Pasture",37.416667,-108.15,0,-6.65726416553991,-8.47528982818049
250,"Beef Pasture",37.416667,-108.15,3,-3.47983633378521,-5.75963068171249
250,"Beef Pasture",37.416667,-108.15,14,-4.83941199404187,-6.98383317001164
250,"Beef Pasture",37.416667,-108.15,23,-5.82551282200923,-8.4114471688789
250,"Beef Pasture",37.416667,-108.15,34,-4.96364150736209,-7.0757996550637
250,"Beef Pasture",37.416667,-108.15,49,-4.72077700132232,-6.59553681146974
250,"Beef Pasture",37.416667,-108.15,60,-5.71736899913948,-6.91253514509027
250,"Beef Pasture",37.416667,-108.15,94,-3.92257832509776,-6.05444665659219
250,"Beef Pasture",37.416667,-108.15,129,-4.8425886713403,-6.42443248283118
250,"Beef Pasture",37.416667,-108.15,163,-5.20140116081573,-6.55151915093185
250,"Beef Pasture",37.416667,-108.15,189,-4.65577016546081,-6.31968731755003
250,"Beef Pasture",37.416667,-108.15,223,-3.58200084076573,-5.39588848749797
250,"Beef Pasture",37.416667,-108.15,257,-5.05400482535052,-7.04417500722843
250,"Beef Pasture",37.416667,-108.15,291,-3.86439999301918,-6.18520783965476
250,"Beef Pasture",37.416667,-108.15,326,-6.28966697739748,-8.40547635248862
250,"Beef Pasture",37.416667,-108.15,360,-5.92392482424,-8.32113484770991
250,"Beef Pasture",37.416667,-108.15,394,-5.83110366028268,-7.72548099077928
250,"Beef Pasture",37.416667,-108.15,429,-8.18928898758876,-10.4723941862304
250,"Beef Pasture",37.416667,-108.15,463,-5.63650448806273,-7.5067835104124
250,"Beef Pasture",37.416667,-108.15,497,-4.76099782625524,-6.70300349977799
250,"Beef Pasture",37.416667,-108.15,531,-4.51422299475409,-5.96428198593281
250,"Beef Pasture",37.416667,-108.15,566,-5.39802683130372,-7.13456882513749
250,"Beef Pasture",37.416667,-108.15,600,-5.9154043282941,-7.53961816000675
250,"Beef Pasture",37.416667,-108.15,634,-3.93086683109092,-5.82634983026423
250,"Beef Pasture",37.416667,-108.15,669,-4.2318045006739,-6.05705031850375
250,"Beef Pasture",37.416667,-108.15,703,-4.51422299475409,-5.96428198593281
250,"Beef Pasture",37.416667,-108.15,737,-4.52753049637812,-6.19149348520907
250,"Beef Pasture",37.416667,-108.15,771,-4.78290599987842,-6.45871932881263
250,"Beef Pasture",37.416667,-108.15,796,-5.50878683506822,-6.80080865154897
250,"Beef Pasture",37.416667,-108.15,818,-6.14866631517187,-7.9660858364737
250,"Beef Pasture",37.416667,-108.15,840,-5.78868549360894,-7.26555698715073
250,"Beef Pasture",37.416667,-108.15,861,-5.93521666416898,-7.12035014847837
250,"Beef Pasture",37.416667,-108.15,889,-5.54982299287183,-7.09906215523602
250,"Beef Pasture",37.416667,-108.15,916,-5.80182715947119,-7.61593333562138
250,"Beef Pasture",37.416667,-108.15,943,-5.54982299287183,-7.09906215523602
250,"Beef Pasture",37.416667,-108.15,970,-4.52633882790493,-6.08970432025613
250,"Beef Pasture",37.416667,-108.15,1024,0.702029013261199,-1.4980205001325
250,"Beef Pasture",37.416667,-108.15,1051,-6.12894166106669,-7.88353433795196
250,"Beef Pasture",37.416667,-108.15,1079,-7.02901982932972,-9.10783284004467
250,"Beef Pasture",37.416667,-108.15,1106,-7.44504883159883,-9.53663650879947
250,"Beef Pasture",37.416667,-108.15,1133,-5.57671034343269,-7.18015382019803
250,"Beef Pasture",37.416667,-108.15,1160,-6.53890532677062,-8.40691500739427
250,"Beef Pasture",37.416667,-108.15,1187,-5.78531416112867,-7.53121317550462
250,"Beef Pasture",37.416667,-108.15,1214,-4.97005999903815,-6.34481415589573
250,"Beef Pasture",37.416667,-108.15,1241,-5.80182715947119,-7.61593333562138
250,"Beef Pasture",37.416667,-108.15,1269,-5.77360699808535,-7.45165949195546
250,"Beef Pasture",37.416667,-108.15,1296,-5.45250200088757,-7.06208249154113
250,"Beef Pasture",37.416667,-108.15,1323,-5.20140116081573,-6.55151915093185
250,"Beef Pasture",37.416667,-108.15,1350,-5.1897561663979,-7.00864333166353
250,"Beef Pasture",37.416667,-108.15,1377,-5.22670148295971,-6.62701615976403
250,"Beef Pasture",37.416667,-108.15,1404,-5.32793999414581,-6.74773348646782
250,"Beef Pasture",37.416667,-108.15,1431,-5.20140116081573,-6.55151915093185
250,"Beef Pasture",37.416667,-108.15,1459,-5.06558982511051,-7.00786034007557
250,"Beef Pasture",37.416667,-108.15,1486,-5.20140116081573,-6.55151915093185
250,"Beef Pasture",37.416667,-108.15,1513,-5.10135499623915,-6.57219381645167
250,"Beef Pasture",37.416667,-108.15,1576,-5.17644866477388,-6.78143183238727
250,"Beef Pasture",37.416667,-108.15,1647,-5.61613165664176,-7.0502379816755
250,"Beef Pasture",37.416667,-108.15,1718,-5.3601330041637,-6.7214251497287
250,"Beef Pasture",37.416667,-108.15,1789,-6.19941533537116,-7.86598430183018
250,"Beef Pasture",37.416667,-108.15,1861,-5.56127917174871,-6.84443598419428
250,"Beef Pasture",37.416667,-108.15,1932,-5.45617966322849,-6.87592731880878
