labID,age,error,depth,cc
surface,-55,5,0,0
UGa,1530,40,60.5,1
UGa,2250,25,156,1
UGa,4280,40,274,1
UGa,7490,30,346.5,1
UGa,10090,50,435,1
UGa,12300,40,546.5,1
UGa,15130,40,648,1
