labID,age,error,depth,cc
Beta-53864,1430,80,27.5,1
Beta-53865,1860,90,53.75,1
Beta-53866,2890,70,73.75,1
Beta-33179,3300,90,77.5,1
potatolake1,10800,500,105,1
