labID,age,error,depth,cc
HL-1,-52,10,0.5,0
HL-10,-29,10,18.5,0
UCIAMS-43334,1125,15,107.5,1
DAMS-27222,1724,48,155.5,1
UCIAMS-43335,3370,15,242.5,1
DAMS-27223,3724,34,365.5,1
Beta-20488,5130,40,465.5,1
DAMS-26548,5841,116,549.5,1
DAMS-26549,7022,192,634,1
Beta-20488,8620,40,717.5,1
UCIAMS-51683,10380,140,772.5,1
UCIAMS-51684,11365,25,834.5,1
