33.9616,425.334,4.01092,130.737,51.0879,86.881,67.6478,378.154,50.6568,229.761,29.3166,56.5421,72.4797,10.8769,6.64118,85.435,9.48937,9.10137,60.8557,16.2564,75.5801,105.686,1.15993,34.2488,22.7938,157.451,49.3556,135.12,27.5438,125.805,141.043,47.3304,28.5259,59.7544,196.956,132.434,10.84,35.1677,183.956,71.9547,87.2363,121.949,114.553,288.6,140.88,94.254,196.267,64.8605,122.324,46.1932,52.4372,36.7999,434.022,36.9876,283.581,47.4909,50.4882,286.541,9.65526,81.2189,38.0961,22.1412,232.405,240.878,128.146,68.7777,45.9129,236.709,46.3961,49.7748,0.307689,-15.115
-7.3343,173.313,18.7728,185.957,53.012,63.4131,127.06,343.679,135.715,64.315,108.629,12.8282,93.8954,23.573,71.0668,0.247057,5.44013,204.228,99.3628,92.0585,58.2089,30.493,43.7906,70.5374,41.2925,32.5992,105.57,123.405,91.4265,105.976,1.23741,351.474,21.5774,29.1747,28.3089,13.6869,49.0992,70.6115,281.361,6.91642,76.0274,327.179,5.73312,291.305,133.027,21.5829,237.518,20.2129,164.576,25.0861,25.5211,136.967,195.031,72.8615,53.1628,27.3683,13.0924,31.9344,5.30823,194.914,28.0498,107.916,73.9847,18.3789,78.6649,5.72817,11.8498,122.832,129.422,268.665,0.177606,-19.4446
30.0065,225.002,40.0837,55.872,31.0003,25.3246,83.6839,136.138,38.5925,47.88,38.7148,96.7755,124.487,0.175959,178.547,22.6687,148.581,96.2339,76.0361,125.571,16.2754,19.0564,39.4785,93.1961,52.1722,27.9832,211.941,95.5642,358.108,121.43,11.2314,176.205,9.73311,29.1747,41.0605,211.189,161.219,17.2786,63.8424,123.357,42.188,204.537,95.9702,118.227,231.33,147.006,139.599,38.236,132.715,2.56983,15.4358,73.8632,137.706,16.9196,229.613,71.5358,211.689,46.9023,34.4625,151.106,274.634,131.219,250.437,9.83914,284.208,34.797,122.998,58.5408,60.9012,398.168,0.261071,-14.7943
100.895,43.2143,101.503,30.3132,75.048,108.816,121.439,101.852,51.62,3.86928,84.8626,121.209,183.042,86.9108,16.8931,145.3,42.595,76.4972,117.116,57.0832,35.18,41.0368,82.5112,65.7572,17.2856,76.4445,305.097,49.2268,94.4642,48.6715,132.064,144.814,288.276,10.9117,108.192,108.825,209.144,98.8482,8.1689,143.947,62.45,44.0983,30.4632,72.0737,61.9281,98.1465,103.003,142.114,146.358,6.69636,29.0766,66.4148,207.831,62.9878,40.8914,19.3781,111.225,98.894,50.3694,234.916,185.607,37.8126,300.948,29.5308,118.806,36.4273,71.0742,78.4405,3.31094,432.571,0.284917,-21.8974
3.64856,146.473,204.446,268.985,107.602,55.8555,40.5355,113.36,162.022,114.023,22.6187,135.342,92.3003,20.9259,70.5508,88.7471,15.2233,81.6843,55.1965,58.9301,54.9348,19.0713,11.079,15.4383,53.3162,203.805,222.702,86.7526,110.683,78.2003,143.489,64.5724,37.3394,97.9921,127.333,124.668,8.3037,108.254,37.4432,91.7631,96.165,124.148,43.3822,6.94874,130.99,97.7061,39.6078,149.359,94.7669,49.2002,143.727,104.113,416.219,68.4354,18.8275,103.679,39.7697,227.466,42.2988,156.271,85.2341,300.733,232.069,250.769,171.639,33.6703,11.6683,52.7349,127.54,109.222,0.151051,-21.2106
-2.1241,262.642,38.1156,194.037,69.5965,64.5994,71.0249,14.9296,116.717,121.789,177.468,146.814,165.605,42.904,136.005,164.188,32.5096,20.8506,114.219,120.141,9.39804,47.8545,9.2344,106.866,49.7539,84.5767,62.289,68.3593,42.7953,204.069,53.421,10.7465,52.1613,48.7217,75.6139,149.357,63.2281,116.861,195.236,182.239,67.8222,91.3135,171.206,42.4667,20.5194,67.8354,211.295,73.9459,63.2774,43.8307,123.231,117.105,188.61,44.785,18.6377,45.5938,108.378,14.7697,20.8424,68.9299,66.1137,154.358,316.171,115.921,304.325,108.976,58.9874,65.79,194.638,50.8237,0.234034,-26.8464
127.406,212.844,29.529,15.0908,83.9077,22.0749,197.238,91.8552,48.8132,182.204,146.871,96.6984,193.058,58.3685,67.4344,332.172,48.8627,253.266,141.309,61.0214,29.5193,201.503,41.2955,97.9136,44.7278,303.588,13.4522,77.8472,191.74,25.8569,121.142,134.417,9.24729,52.3331,76.575,76.4181,61.401,118.398,181.687,41.69,132.248,203.429,27.3017,44.7889,97.79,132.162,201.675,63.9289,64.7019,147.417,41.5361,330.942,315.374,87.7006,15.6433,39.4429,6.47412,270.025,224.563,104.825,36.2195,93.6658,407.01,224.24,55.6663,267.336,24.5151,133.084,61.8042,89.8402,0.308037,-0.644496
23.277,43.4035,1.62999,97.041,63.7872,121.837,145.546,48.5275,17.2448,67.6872,15.7897,113.559,63.877,290.52,84.4001,410.986,39.7112,60.1575,89.0996,8.13814,81.3793,297.847,35.8544,213.908,50.2314,42.4692,104.401,169.561,70.7674,260.694,48.1109,76.0493,31.4523,53.5155,8.04425,11.0195,137.672,65.883,82.8101,178.676,172.517,75.954,15.5358,75.6159,167.588,78.4799,137.956,13.3903,82.0263,20.02,112.789,107.992,537.613,146.287,32.6568,35.0854,169.611,94.8391,107.58,63.2183,69.5236,119.513,80.7655,105.386,8.38029,71.1543,222.372,125.661,153.982,60.0073,0.161559,-19.0128
-6.61637,38.3524,22.1015,58.8834,7.91047,43.8709,51.3669,186.147,30.4497,94.3865,5.92361,24.6624,135.221,228.211,83.645,408.419,117.052,52.7586,13.1113,70.4268,52.8013,67.9092,92.658,280.851,268.277,67.7067,218.556,8.99473,152.54,62.8134,56.7854,58.5567,54.0574,265.867,23.2504,109.777,19.853,64.328,81.0278,76.4072,63.3367,56.7621,59.0924,37.4913,251.047,49.7728,235.455,16.0846,45.6401,104.831,7.65737,40.6454,30.5095,5.62311,6.11898,181.414,176.683,107.255,8.15504,9.70246,191.546,9.02536,65.8894,48.6708,39.9247,138.234,27.926,18.1218,72.1749,34.6855,0.206891,-27.922
11.2094,186.197,67.9218,99.4722,76.326,43.8756,40.8838,11.5731,60.1976,22.6646,88.5076,36.6643,91.3088,280.512,122.678,404.346,232.011,50.5131,213.136,138.408,71.1346,64.8102,56.1967,130.102,196.699,67.3952,60.5539,41.7912,14.1806,50.238,77.4874,53.5848,37.7159,140.353,10.0363,109.563,137.224,112.336,27.0822,127.224,67.5763,19.9015,71.2626,34.2827,40.7289,159.498,90.3153,15.8597,41.5981,49.7625,53.0884,107.088,34.2132,149.277,33.9532,206.878,142.272,23.4792,289.757,120.187,70.547,18.2289,89.2476,256.906,59.7685,260.395,103.915,39.5271,90.5056,52.7303,0.540334,-25.4709
