depth	min	max	median	mean
0	-63	92	1	4
2	-5	590	163	200
14	680	2229	1308	1347
24	1443	3302	2278	2302
29	1859	3800	2755	2775
34	2256	4337	3237	3248
44	3088	5337	4179	4191
59	4488	6714	5613	5606
69	5482	7598	6561	6553
76	6202	8217	7229	7222
84	7055	8896	7978	7980
89	7672	9251	8444	8452
94	8269	9720	8933	8945
104	9036	11086	9919	9957
109	9427	11672	10431	10461
119	10259	12878	11451	11476
124	10664	13517	11954	11985
134	11532	14684	12966	12999
