depth	min	max	median	mean
0	-65	9	-34	-33
5	-21	137	38	44
20	144	409	267	269
25	213	491	342	344
30	279	571	419	421
35	355	645	495	496
40	430	722	571	572
45	508	792	645	647
50	596	861	721	723
55	687	925	790	798
60	747	1009	868	872
65	814	1085	944	945
70	880	1165	1017	1019
75	945	1239	1091	1091
80	1016	1310	1166	1164
85	1092	1375	1239	1236
90	1164	1464	1315	1311
