"Populus	Poplar<comma> Aspen	x	x	x	x	",
"Potentilla	Cinquefoil				x	",
"Prosopis	Mesquite	x	x	x	x	",
"Pteridium	Bracken (fern)		x	x	x	",
"Quercus	Oak	x	x	we	x	",
"Ranunculaceae	Buttercup Family				x	",
"Rhamnaceae/Vitaceae	Buckthorn/Grape Families				x	",
"Rosaceae	Rose Family		x	x	x	",
"Rubiaceae	Madder Family				x	",
"Rubus	Blackberry				x	",
"Rumex	Sorrel				x	",
"Rumex/Oxyria	Sorrel/Mountainsorrel				x	",
"Salix	Willow	x	x	x	x	",
"Sanguisorba	Burnet				x	",
"Sarcobatus	Greasewood	x	x	x	x	",
"Saxifraga cernua	Nodding Saxifrage	a	a	a	x	",
"Saxifraga hieraciifolia	Stiffstem Saxifrage	a	a	a	x	",
"Saxifraga oppositifolia	Purple Saxifrage	a	a	a	x	",
"Saxifraga tricuspidata	Three-Toothed Saxifrage	a	a	a	x	",
"SAXIFRAGAl	Saxifrage	x	x	x		",
"Saxifragaceae undifferentiated	Saxifrage Family undiff.				x	",
"Scrophulariaceae	Figwort Family				x	",
"Selaginella	Spikemoss				x	",
"Shepherdia canadensis	Buffaloberry				x	",
"Sphagnum	Peat moss		x	x	x	",
"Taxodium	Cypress		x	x	x	",
"Taxus	Yew				x	",
"Thalictrum	Meadow Rue	x			x	",
"Tilia	Basswood	x	x	x	x	",
"Tsuga heterophylla	Western Hemlock	x	x	x	x	",
"Tsuga mertensiana	Mountain Hemlock		x	x	x	",
"Tsuga undifferentiated	Hemlock undiff.	x	x	we	x	",
"Ulmus	Elm	x	x	x	x	",
"Urticaceae	Nettle Family				x	",
"Vaccinium	Blueberry		a	a	x	",
"Xanthium	Cocklebur	a	a	a	x	",
"						",
"xâ€”included in analog analyses as standalone pollen type.						",
"						",
"aâ€”included as part of an aggregated pollen type (aggregated types shown in capital letters).						",
"						",
"weâ€”included but split into western and eastern groups.						",
"						",
"fcâ€”included but split into central and Floridian groups.						",
"						",
"wneseâ€”included but split into western, northeastern, and southeastern groups.						",
"						",
"a						",
"Sum of Acer negundo, A. pennsylvanicum, A. rubrum, A. saccharinum, A. saccharum, A. undiff.						",
"						",
"b						",
"Sum of Alnus crispa, A. undiff.						",
"						",
"c						",
"Sum of Alnus crispa, A. rubra, A. rugosa, A. undiff.						",
"						",
"d						",
"Sum of Asteraceae undiff., Asteraceae subf. Cichorioideae, Iva, Xanthium. Does not include Artemisia, Ambrosia.						",
"						",
"e						",
"Sum of Chamaedaphne/Ledum, Ericaceae undiff., Vaccinium.						",
"						",
"f						",
"Sum of Fraxinus nigra, F. pennsylvanica/americana, F. undiff.						",
"						",
"g						",
"Sum of Juglans cinerea, J. nigra, J. undiff.						",
"						",
"h						",
"Sum of Lycopodium annotinum, L. clavatum, L. complanatum, L. selago, L. undiff.						",
"						",
"i						",
"Sum of Apiaceae, Eriogonum, Euphorbiaceae, Malvaceae.						",
"						",
"j						",
"Sum of Picea glauca, P. mariana, P. undiff.						",
"						",
"k						",
"Sum of Pinus diploxylon, P. haploxylon, P. undiff. Does not include Pinus Southeast.						",
"						",
"l						",
"Sum of Saxifraga cernua, S. hieracifolia, S. oppositifolia, S. tricuspidata.						",
