labID,age,error,depth,cc
surface,-42,2,0,0
BETA59135,1220,100,42,1
BETA60838,1500,110,52,1
BETA59136,730,80,93,1
BETA60839,2090,70,112.5,1
BETA71674,4600,130,132.5,1
BETA71675,6260,90,152.5,1
BETA54741,8450,130,187,2
