labID,age,error,depth,cc
Beta-53864,1430,80,27.5,1
Beta-53865,1860,90,53.75,1
Beta-53866,2890,70,73.75,1
Beta-33180,9890,240,92.5,1
A-513,14400,300,152,1
Beta-29344,21180,480,614,1
Beta-29345,34850,950,912.5,1
