labID,age,error,depth,cc
surface,-35,5,0,0
AA-2450,1526,50,225,1
AA-2451,2885,60,330,1
AA-4693,5540,60,395,1
AA-2452,8003,70,465,1
A-4733,9520,200,887,1
AA-4694,10975,95,1015,1
