labID,age,error,depth,cc
surface,322,1,190,0
NSRL-3022,3830,60,312.5,1
Beta-88937,6590,60,605.5,1
NSRL-3410,8770,70,680.5,1
Beta-88938,10990,60,804.5,1
NSRL-3023,11560,60,1000.5,1
